;----------------------------------------------------
;Dump of Oscilloscope gather for X Axis
;Kp == 0.000000
;Ki == 0.000000
;Kd == 0.000000
;iL == 2560000.000000
;Kg == 0.000000
;Kv1 == 0.000000
;Ka == 0.000000
;accel_time == 0.500000
;samples_per_second == 200.000000
;----------------------------------------------------

Sample Seconds VExp VAbs ErrAbs ErrSum
276 1.380000 -18.295467 -18.000000 -8.000000 0.000000 
277 1.385000 -18.295467 -17.000000 -8.000000 0.000000 
278 1.390000 -18.295467 -18.000000 -7.000000 0.000000 
279 1.395000 -18.295467 -20.000000 -7.000000 0.000000 
280 1.400000 -18.295467 -18.000000 -8.000000 0.000000 
281 1.405000 -18.295467 -18.000000 -7.000000 0.000000 
282 1.410000 -18.295467 -20.000000 -6.000000 0.000000 
283 1.415000 -18.295467 -18.000000 -8.000000 0.000000 
284 1.420000 -18.295467 -17.000000 -9.000000 0.000000 
285 1.425000 -18.295467 -19.000000 -8.000000 0.000000 
286 1.430000 -18.295467 -20.000000 -6.000000 0.000000 
287 1.435000 -18.295467 -18.000000 -6.000000 0.000000 
288 1.440000 -18.295467 -17.000000 -6.000000 0.000000 
289 1.445000 -18.295467 -19.000000 -7.000000 0.000000 
290 1.450000 -18.295467 -18.000000 -9.000000 0.000000 
291 1.455000 -18.295467 -17.000000 -8.000000 0.000000 
292 1.460000 -18.295467 -19.000000 -6.000000 0.000000 
293 1.465000 -18.295467 -19.000000 -8.000000 0.000000 
294 1.470000 -18.295467 -17.000000 -10.000000 0.000000 
295 1.475000 -18.295467 -17.000000 -9.000000 0.000000 
296 1.480000 -18.295467 -19.000000 -7.000000 0.000000 
297 1.485000 -18.295467 -19.000000 -7.000000 0.000000 
298 1.490000 -18.295467 -17.000000 -8.000000 0.000000 
299 1.495000 -18.295467 -18.000000 -6.000000 0.000000 
300 1.500000 -18.295467 -19.000000 -6.000000 0.000000 
301 1.505000 -18.295467 -18.000000 -8.000000 0.000000 
302 1.510000 -18.295467 -18.000000 -7.000000 0.000000 
303 1.515000 -18.295467 -19.000000 -6.000000 0.000000 
304 1.520000 -18.295467 -19.000000 -8.000000 0.000000 
305 1.525000 -18.295467 -17.000000 -9.000000 0.000000 
306 1.530000 -18.295467 -19.000000 -7.000000 0.000000 
307 1.535000 -18.295467 -20.000000 -7.000000 0.000000 
308 1.540000 -18.295467 -18.000000 -7.000000 0.000000 
309 1.545000 -18.295467 -17.000000 -7.000000 0.000000 
310 1.550000 -18.295467 -19.000000 -6.000000 0.000000 
311 1.555000 -18.295467 -19.000000 -8.000000 0.000000 
312 1.560000 -18.295467 -17.000000 -8.000000 0.000000 
313 1.565000 -18.295467 -18.000000 -6.000000 0.000000 
